Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,131586,5561,80226,45799,0,4.23,60.97,6.93,38928341,3380.0,120216,11370,9.46
Albania,132587,2456,130047,84,7,1.85,98.08,1.89,2877800,46072.0,132534,53,0.04
Algeria,145296,3824,100911,40561,813,2.63,69.45,3.79,43851043,3313.0,141007,4289,3.04
Andorra,14075,127,13770,178,0,0.9,97.83,0.92,77265,182165.0,13918,157,1.13
Angola,39881,929,34298,4654,90,2.33,86.0,2.71,32866268,1213.0,39172,709,1.81
Antigua and Barbuda,1266,42,1222,2,0,3.32,96.52,3.44,97928,12928.0,1264,2,0.16
Argentina,4639098,98501,4264937,275660,11561,2.12,91.93,2.31,45195777,102645.0,4526473,112625,2.49
Armenia,226285,4542,217587,4156,150,2.01,96.16,2.09,2963234,76364.0,225464,821,0.36
Australia,31100,911,23858,6331,85,2.93,76.71,3.82,50919400,611.0,30753,347,1.13
Austria,651453,10723,638814,1916,162,1.65,98.06,1.68,9006400,72332.0,650662,791,0.12
Azerbaijan,337098,4984,330725,1389,136,1.48,98.11,1.51,10139175,33247.0,336318,780,0.23
Bahamas,13024,252,11855,917,0,1.93,91.02,2.13,393248,33119.0,12735,289,2.27
Bahrain,267112,1376,264488,1248,74,0.52,99.02,0.52,1701583,156979.0,266286,826,0.31
Bangladesh,1009315,16189,868139,124987,8772,1.6,86.01,1.86,164689383,6129.0,936256,73059,7.8
Barbados,4136,48,4036,52,8,1.16,97.58,1.19,287371,14393.0,4082,54,1.32
Belarus,426886,3247,420085,3554,1082,0.76,98.41,0.77,9449321,45176.0,420406,6480,1.54
Belgium,1093700,25198,0,1068502,0,2.3,0.0,7.975497382198952,23021022,47509.0,1086508,7192,0.66
Belize,13518,330,12848,340,0,2.44,95.04,2.57,397621,33997.0,13343,175,1.31
Benin,8227,105,8000,122,0,1.28,97.24,1.31,12123198,679.0,8199,28,0.34
Bhutan,2266,1,1933,332,8,0.04,85.3,0.05,771612,2937.0,2133,133,6.24
Bolivia,453595,17200,378733,57662,2371,3.79,83.5,4.54,11673029,38858.0,444090,9505,2.14
Bosnia and Herzegovina,205145,9656,184999,10490,98,4.71,90.18,5.22,3280815,62529.0,205047,98,0.05
Botswana,75388,1202,69914,4272,0,1.59,92.74,1.72,2351625,32058.0,71443,3945,5.52
Brazil,19069003,532893,16983333,1552777,48504,2.79,89.06,3.14,422706534,45112.0,18742025,326978,1.74
Brunei,268,3,255,10,2,1.12,95.15,1.18,437483,613.0,262,6,2.29
Bulgaria,422446,18140,396315,7991,32,4.29,93.81,4.58,6948445,60797.0,422034,412,0.1
Burkina Faso,13506,168,13317,21,0,1.24,98.6,1.26,20903278,646.0,13494,12,0.09
Burma,188752,3756,144809,40187,4377,1.99,76.72,2.59,54409800,3469.0,163087,25665,15.74
Burundi,5608,8,773,4827,0,0.14,13.78,1.03,11890781,472.0,5494,114,2.07
Cabo Verde,32969,289,32141,539,41,0.88,97.49,0.9,555988,59298.0,32705,264,0.81
Cambodia,59978,881,51660,7437,933,1.47,86.13,1.71,16718971,3587.0,53298,6680,12.53
Cameroon,80858,1324,35261,44273,0,1.64,43.61,3.75,26545864,3046.0,80858,0,0.0
Canada,1427732,26389,1395951,5392,257,1.85,97.77,1.89,75750184,18848.0,1424117,3615,0.25
Central African Republic,7142,98,6859,185,0,1.37,96.04,1.43,4829764,1479.0,7141,1,0.01
Chad,4954,174,4777,3,1,3.51,96.43,3.64,16425859,302.0,4951,3,0.06
Chile,1585160,33767,1532078,19315,2769,2.13,96.65,2.2,36692988,43201.0,1566461,18699,1.19
China,104020,4848,98590,582,1,4.66,94.78,4.92,2809352660,37.0,103841,179,0.17
Colombia,4471622,111731,4199227,160664,0,2.5,93.91,2.66,99141018,45104.0,4324230,147392,3.41
Comoros,3983,146,3786,51,4,3.67,95.05,3.86,869595,4580.0,3957,26,0.66
Congo (Brazzaville),12790,167,11759,864,0,1.31,91.94,1.42,89561403,143.0,12695,95,0.75
Congo (Kinshasa),43970,980,28630,14360,276,2.23,65.11,3.42,5518087,7968.0,41959,2011,4.79
Costa Rica,380482,4773,305426,70283,0,1.25,80.27,1.56,5094114,74691.0,371206,9276,2.5
Cote d'Ivoire,48776,318,48085,373,0,0.65,98.58,0.66,26378274,1849.0,48513,263,0.54
Croatia,360768,8227,351936,605,88,2.28,97.55,2.34,4105268,87879.0,360181,587,0.16
Cuba,231568,1490,201817,28261,6750,0.64,87.15,0.74,11326616,20445.0,200728,30840,15.36
Cyprus,83423,380,39061,43982,960,0.46,46.82,0.97,1207361,69095.0,77445,5978,7.72
Czechia,1669182,30331,1636783,2068,291,1.82,98.06,1.85,10708981,155867.0,1667796,1386,0.08
Denmark,299511,2540,291049,5922,541,0.85,97.17,0.87,5897840,50783.0,295756,3755,1.27
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,33728.729166666664,712,0,0.0
Djibouti,11614,155,11450,9,0,1.33,98.59,1.35,988002,11755.0,11604,10,0.09
Dominica,197,0,192,5,0,0.0,97.46,0.0,71991,2736.0,194,3,1.55
Dominican Republic,333053,3889,273391,55773,669,1.17,82.09,1.42,10847904,30702.0,328376,4677,1.42
Ecuador,467976,21814,431404,14758,903,4.66,92.19,5.06,17643060,26525.0,462142,5834,1.26
Egypt,282985,16383,217756,48846,121,5.79,76.95,7.52,102334403,2765.0,281903,1082,0.38
El Salvador,80932,2439,73961,4532,0,3.01,91.39,3.3,6486201,12478.0,79790,1142,1.43
Equatorial Guinea,8790,122,8572,96,0,1.39,97.52,1.42,1402985,6265.0,8759,31,0.35
Eritrea,6277,29,5842,406,18,0.46,93.07,0.5,3546427,1770.0,6074,203,3.34
Estonia,131460,1270,127841,2349,64,0.97,97.25,0.99,1326539,99100.0,131161,299,0.23
Eswatini,19870,687,18455,728,91,3.46,92.88,3.72,1160164,17127.0,19084,786,4.12
Ethiopia,276984,4343,261979,10662,113,1.57,94.58,1.66,114963583,2409.0,276368,616,0.22
Fiji,10027,52,1697,8278,506,0.52,16.92,3.06,896444,11185.0,5639,4388,77.82
Finland,97944,976,46000,50968,293,1.0,46.97,2.12,5540718,17677.0,96372,1572,1.63
France,5870463,111511,407372,5351580,4696,1.9,6.94,27.37,68151730,86138.0,5845660,24803,0.42
Gabon,25164,162,24898,104,0,0.64,98.94,0.65,2225728,11306.0,25076,88,0.35
Gambia,6282,185,5906,191,99,2.94,94.01,3.13,2416664,2599.0,6079,203,3.34
Georgia,376200,5443,358227,12530,1364,1.45,95.22,1.52,3989175,94305.0,369048,7152,1.94
Germany,3743164,91239,3632330,19595,809,2.44,97.04,2.51,166803158,22441.0,3738059,5105,0.14
Ghana,97130,799,94349,1982,159,0.82,97.14,0.85,31072945,3126.0,96067,1063,1.11
Greece,437345,12763,93764,330818,2327,2.92,21.44,13.61,10423056,41959.0,425347,11998,2.82
Grenada,161,1,160,0,0,0.62,99.38,0.62,112519,1431.0,161,0,0.0
Guatemala,317311,9688,277992,29631,3009,3.05,87.61,3.48,17915567,17711.0,301189,16122,5.35
Guinea,24065,176,23358,531,45,0.73,97.06,0.75,13132792,1832.0,23807,258,1.08
Guinea-Bissau,3940,70,3627,243,6,1.78,92.06,1.93,1967998,2002.0,3881,59,1.52
Guyana,20924,492,18998,1434,90,2.35,90.8,2.59,786559,26602.0,20305,619,3.05
Haiti,19220,471,12961,5788,0,2.45,67.43,3.63,11402533,1686.0,18658,562,3.01
Holy See,27,0,27,0,0,0.0,100.0,0.0,809,33375.0,27,0,0.0
Honduras,273702,7250,94243,172209,972,2.65,34.43,7.69,9904608,27634.0,266918,6784,2.54
Hungary,808437,30004,741083,37350,0,3.71,91.67,4.05,9660350,83686.0,808197,240,0.03
Iceland,6555,29,6476,50,0,0.44,98.79,0.45,341250,19209.0,6555,0,0.0
India,30837222,408040,29975064,454118,41506,1.32,97.2,1.36,2751341248,11208.0,30545433,291789,0.96
Indonesia,2491006,65457,2052109,373440,35094,2.63,82.38,3.19,273523621,9107.0,2256851,234155,10.38
Iran,3355786,85694,3010090,260002,11664,2.55,89.7,2.85,83992953,39953.0,3241037,114749,3.54
Iraq,1421746,17515,1300517,103714,6821,1.23,91.47,1.35,40222503,35347.0,1365211,56535,4.14
Ireland,277316,5006,23364,248946,581,1.81,8.43,21.43,4937796,56162.0,273744,3572,1.3
Israel,845811,6435,835164,4212,432,0.76,98.74,0.77,8655541,97719.0,842648,3163,0.38
Italy,4269885,127768,4101102,41015,1394,2.99,96.05,3.12,120822834,35340.0,4262511,7374,0.17
